Excersize_Name,Video,Muscle1,Muscle2,Muscle3,Muscle4
Reverse Crunch,,Middle Core,,,
Low Crunch,,Middle Core,,,
High Crunch,,Middle Core,,,
Ab Crunch Machine,,Middle Core,,,
Decline Sit Up,,Middle Core,,,
Rotary Torso,,Middle Core,Obliques,,
Hanging Knee Raise,,Middle Core,,,
Hanging Knee Twist,,Middle Core,Obliques,,
Hanging Leg Raise,,Middle Core,,,
Knee To Elbow Crunch,,Middle Core,Obliques,Inner Thigh,
Dumbbell Side Bend,,Obliques,,,
Plank,,Core,Shoulders,Quads,
Side Plank,,Obliques,Shoulders,Outer Thigh,
Russian Twist,,Middle Core,Obliques,,
Pull Up,,Middle Back,Biceps,,
Bodyweight Row,,Middle Back,Upper Back,Shoulders,
Upright Rows,,Shoulders ,Upper Back,,
Incline Chest Press,,Chest,,,
Side Raise,,Upper Back,Shoulders,,
Hamstring Curls,,Hamstrings,Calves,,
Single Leg Press,,Legs,,,
Lunges,,Legs,,,
Leg Extensions,,Quads,,,
Thigh Adductor,,Inner Thigh,,,
Thigh Abductor,,Outer Hip,,,
Calf Raises,,Calves,,,
Side Lunge,,Quads,Glutes,,
Squat Jumps,,Legs,Glutes,,
Leg Pull-In,,Middle Core,Quads,,
Single Leg Squat,,Quads,Glutes,Hamstrings,Core
Cable Row Squat,,Legs,Glutes,Middle Back,
Overhead Tricep Extension,,Triceps,,,
Bicep Curls,,Biceps,,,
Bicep 21s,,Biceps,,,
Tricep Kickbacks,,Triceps,,,
Overhead Press,,Shoulders ,,,
Close Grip Pull Downs,,Upper Back,,,
Wide Grip Pull Downs,,Outer Back,,,
Wide Grip Rear Pull Downs,,Outer Back,Upper Back,Shoulders,
Seated Cable Row,,Back,Biceps,Core,
Lat Push Down,,Upper Back,Shoulders,,
Crab Toe Touch,,Full Body,,,
Inch Worms,,Hamstrings,,,
Squats,,Legs,Glutes,,
Walking Lunge,,Quads,Glutes,,
Hip Bridges,,Glutes,Lower Back,Quads,
Tricep Push Ups,,Triceps,,,
Push Ups,,Shoulders ,Chest,Biceps,
Crunch,,Core,,,
Side Crunches,,Upper Core,Upper Obliques,,
Bicycle Crunches,,Core,Quads,,
Lying Leg Lifts,,Middle Core,,,
Tricep Dips,,Triceps,,,
Single Leg Dead Lift,,Glutes,Hamstrings,,
Wall Sit,,Legs,Glutes,,
Donkey Kicks,,Glutes,Hamstrings,Lower Core,
Fire Hydrants,,Glutes,Core,,
Single Leg Split Squats,,Legs,Glutes,,
Flutter Kicks,,Core,Quads,,
Star Plank,,Core,Upper Leg,Shoulders,
Good Mornings,,Lower Back,Glutes,Hamstrings,
Supermans,,Back ,Glutes,Hamstrings,
Tbar Row,,Upper Back,,,
High Row,,Upper Back,,,
Back Extension,,Lower Back,Glutes,Hamstrings,
Reverse Peck Fly,,Shoulders ,,,
Seated Back Extension,,Lower Back,Glutes,Hamstrings,
Box Jumps,,Legs,Glutes,Lower Back,
Twisting Hyperextension,,Core,Glutes,Lower Back,
Bent Over Lat Pull,,Upper Back,Core,,
Dead Lifts,,Hamstrings,Glutes,,
Frontal Raises,,Shoulders ,Chest,,
Lateral Raises,,Shoulders ,,,
Cable Face Pulls,,Upper Back,Shoulders,Traps,
Cable Rear Delt Row,,Upper Back,Triceps ,Shoulders,
Step Up,,Quads,Glutes,Hamstrings,
Cable Reverse Lunge,,Legs,Glutes,,
Cable Hip Hinge,,Glutes,Hamstrings,Lower Back,
Cable Squats,,Legs,,,
Cable Pull Through,,Legs,Glutes,Upper Back,
Cable Front Leg Extension,,Quads,Core,,
Cable Hamstring Extension,,Glutes,Hamstrings,,
Cable Single Leg Straight Arm Pull Down,,Legs,Upper Back,,
Cable Two Arm Row,,Back,,,
Preacher Curl,,Biceps,,,
Cable Bent Over Side Lateral Raise,,Back,Shoulders,Traps,
Cable Twisting High Row,,Core,Back,Shoulders,
V Up,,Core,Outer Thigh,,
Spiderman Plank,,Core,Upper Leg,Glutes,
Wide/Narrow Push Ups ,,Chest,Core,Biceps,
Pike Push Up,,Shoulders ,Biceps,Chest,
Walking Toe Touch,,Legs,Lower Core,,
Cable Double Arm Shrug,,Traps,,,
Plank Jacks,,Core,Chest,,
Cable Single Arm Toe Touch,,Core,Back,,
Alternating Arm/Leg Plank,,Full Body,,,
Reverse Plank,,Core,Shoulders,Hamstrings,
Swimmers,,Back,Hamstrings,Glutes,
Cable Standing Crunch,,Core,,,
Cable Wood Chop,,Core,Full Body,,
